Phylum,Class,Order,Family,Genus,Species,Oxygen,pH,Spore
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Porphyrae,obligate aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Ignatzschineriaceae,Wohlfahrtiimonas,,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Hamiltonella,,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Phlomobacter,,Unknown,Unknown,Unknown
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Sediminibacterium,,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Cholerae,facultative anaerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,Psychrophilus,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Ludwigii,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Hormaechei,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Citroniae,anaerobe,alkaliphile,1
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Cereus,aerobe,alkaliphile,1
Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Cinerea,microaerophile,alkaliphile,0
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Somerae,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Segnis,microaerophile,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Sonnei,aerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,Genomosp.,facultative anaerobe,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Gilardii,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Mairii,facultative anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Agglomerans,aerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Salivarius,anaerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Arthropoda,Insecta,Phasmatodea,Bacillidae,Bacillus,Foraminis,aerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Hungatei,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Porcinus,facultative anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Seminis,facultative anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Nitrincola,,aerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,Composti,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,Punicea,aerobe,Unknown,0
Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Shimazuella,,aerobe,Unknown,1
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Paracuniculus,microaerophile,Unknown,0
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Algae,aerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Caseolyticus,aerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Methylococcales,Crenotrichaceae,Crenothrix,,Unknown,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Pseudolongum,anaerobe,acidophile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Nordii,anaerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Reuszeri,aerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium,Gallinarum,microaerophile,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassomonas,Sediminis,anaerobe,alkaliphile,Unknown
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Succinogenes,anaerobe,Unknown,Unknown
Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Ruminofilibacter,Xylanolyticum,Unknown,Unknown,Unknown
Pseudomonadota,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,Hyphomonas,Oceanitis,obligate aerobe,Unknown,Unknown
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bombiscardovia,,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,,facultative anaerobe,alkaliphile,0
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,,obligate aerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanisphaera,,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,,aerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Popoffii,facultative anaerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Planococcaceae,Ureibacillus,,aerobe,alkaliphile,1
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,,anaerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Parasuis,microaerophile,Unknown,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Piliforme,anaerobe,alkaliphile,1
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Catenibacterium,Mitsuokai,anaerobe,Unknown,Unknown
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,,aerobe,acidophile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,,aerobe,alkaliphile,0
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,,aerobe,acidophile,0
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Parapedobacter,,aerobe,alkaliphile,0
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Alaskensis,anaerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Faecalis,anaerobe,alkaliphile,Unknown
Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,,aerobe,alkaliphile,Unknown
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Multivorum,aerobe,alkaliphile,0
Pseudomonadota,Betaproteobacteria,Tremblayales,Tremblayaceae,Candidatus Tremblaya,Princeps,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,,aerobe,alkaliphile,0
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Terricola,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Muciniphila,anaerobe,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,,aerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Cloacae,aerobe,alkaliphile,0
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium,,anaerobe,Unknown,Unknown
Arthropoda,Insecta,Coleoptera,Lampyridae,Serratia,Symbiotica,aerobe,alkaliphile,0
Bacillota,Clostridia,Peptostreptococcales,Filifactoraceae,Filifactor,,anaerobe,Unknown,Unknown
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,,aerobe,acidophile,0
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,D168,anaerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Cellulosibacter,Alkalithermophilus,anaerobe,alkaliphile,1
Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Massiliensis,anaerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Enhydrobacter,,aerobe,Unknown,Unknown
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Iners,anaerobe,acidophile,0
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Arthropoda,Insecta,Mantodea,Amelidae,Yersinia,,aerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Cholerae,facultative anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,,anaerobe,alkaliphile,Unknown
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,,aerobe,Unknown,0
Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorochromatii,anaerobe,Unknown,Unknown
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Anaerorhabdus,Furcosa,Unknown,Unknown,Unknown
Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Prochlorococcus,,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Sanguinis,aerobe,alkaliphile,0
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,,aerobe,acidophile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Tyrobutyricum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Turicensis,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Enterica,facultative anaerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Fragi,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Stationis,aerobe,alkaliphile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Tetani,anaerobe,alkaliphile,1
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Ochracea,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Dublinensis,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Veronii,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,,microaerophile,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Chloroflexota,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,,anaerobe,Unknown,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,,aerobe,Unknown,0
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Octadecabacter,,aerobe,Unknown,0
Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,facultative anaerobe,Unknown,Unknown
Chloroflexota,Thermobacula,Thermobaculales,Thermobaculaceae,Thermobaculum,Terrenum,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,,Unknown,Unknown,Unknown
Streptophyta,Magnoliopsida,Acorales,Acoraceae,Acorus,Gramineus,Unknown,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Sakazakii,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Cowanii,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Bacillota,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus,,facultative anaerobe,acidophile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Tapetis,facultative anaerobe,alkaliphile,0
Bacteroidota,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Cryomorpha,,Unknown,Unknown,Unknown
Actinomycetota,Actinomycetes,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Chordata,Amphibia,Caudata,Proteidae,Proteus,,facultative anaerobe,alkaliphile,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Budviciaceae,Leminorella,Grimontii,facultative anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Alkanindiges,,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Ananatis,aerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,,aerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Beggiatoa,,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Gergoviae,aerobe,alkaliphile,0
Arthropoda,Insecta,Hemiptera,Coccidae,Rhodococcus,Fascians,aerobe,alkaliphile,0
Bacillota,Clostridia,Peptostreptococcales,Natronincolaceae,Natronincola,,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Benthica,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Pyrinus,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,,aerobe,alkaliphile,0
Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Buchnera,,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfococcaceae,Desulfococcus,Oleovorans,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Arachidis,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Candidatus Thiopilula,Aggregata,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,aerobe,alkaliphile,0
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,,aerobe,alkaliphile,0
Bacillota,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,,facultative anaerobe,acidophile,1
Arthropoda,Insecta,Coleoptera,Anthribidae,Lawsonia,,Unknown,Unknown,Unknown
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructobacillus,,aerobe,acidophile,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Hathewayi,anaerobe,alkaliphile,1
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,,aerobe,acidophile,0
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Litoralis,anaerobe,alkaliphile,0
Streptophyta,Pinopsida,Araucariales,Podocarpaceae,Phyllocladus,Trichomanoides,Unknown,Unknown,Unknown
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Bruguierivoracaceae,Sodalis,,microaerophile,Unknown,Unknown
Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,,facultative anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Blattae,facultative anaerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Bovienii,facultative anaerobe,Unknown,0
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,,aerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Schneideria,Nysicola,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Rhizosphaerae,aerobe,alkaliphile,0
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Catonella,,Unknown,Unknown,Unknown
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Adolescentis,anaerobe,acidophile,0
Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,,anaerobe,Unknown,Unknown
Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Anaerospora,Hongkongensis,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Maltophilia,aerobe,alkaliphile,0
Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,Sativus,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Kleidoceria,Schneideri,Unknown,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Mitsuaria,Chitosanitabida,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus,Temperata,facultative anaerobe,Unknown,0
Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Fortis,facultative anaerobe,alkaliphile,0
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Caviae,facultative anaerobe,alkaliphile,0
Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,facultative anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Desulfotomaculaceae,Desulfotomaculum,,anaerobe,alkaliphile,1
Bacteroidota,Flavobacteriia,Flavobacteriales,Owenweeksiaceae,Owenweeksia,Hongkongensis,aerobe,alkaliphile,0
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Rhodoluna,,aerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorochromatii,anaerobe,Unknown,Unknown
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,,aerobe,alkaliphile,0
Cyanobacteriota,Cyanophyceae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Violaceus,Unknown,Unknown,Unknown
Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorochromatii,anaerobe,Unknown,Unknown
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,,aerobe,acidophile,0
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Sporobacter,Termitidis,anaerobe,Unknown,Unknown
Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Bryantii,anaerobe,alkaliphile,0
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Parvibaculum,,aerobe,acidophile,0
Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Friedmanniella,,aerobe,alkaliphile,Unknown
Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,,aerobe,alkaliphile,0
Nitrososphaerota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Gargensis,Unknown,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Ruminobacter,,anaerobe,Unknown,Unknown
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Somerae,anaerobe,Unknown,Unknown
Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,,anaerobe,Unknown,Unknown
Streptophyta,Magnoliopsida,Ericales,Marcgraviaceae,Schwartzia,,anaerobe,Unknown,Unknown
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,,aerobe,alkaliphile,0
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Acidifaciens,anaerobe,alkaliphile,0
Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,,anaerobe,Unknown,0
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Cocleatum,anaerobe,alkaliphile,1
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Aminophilum,anaerobe,alkaliphile,1
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Aerogenes,aerobe,alkaliphile,0
